# ui.json wrong-script values removed from the COMPLETE upload (→ English fallback).
# Re-translate these with TranslateGemma. All other keys are present & clean.

## ar  (15)
  import.choice.title	استيراد 제출
  furigana.show	ふ عرض الفوريجنا
  tts.approx	⚠ ترجمة произношения приблизительная
  ex.badge.mcq_target_source	ما значици هذا?
  form.format.grammar	🏷️ نحو — جنس الكلمة، الألفاظ والنوع множدي
  form.format.all_types	🎯 جميع الأنواع — المعياري + гرامática + تقوية الفعل + البحث عن الأخطاء
  ex.badge.mcq_plural	اختر المفرد множدي
  ex.badge.type_plural	اكتب المفرد множدي
  ex.mcq_plural.q	ما هو المفرد множدي ل "{word}"؟
  lesson.type.desc.conjugation	 conjugation of verbs in the present tense
  lesson.type.desc.ai_error_hunt	بحث عن الأخطاء 自动生成的文本不适用于此情境，请使用提供的翻译
  form.clear_text	清除
  sl.recreate_failed	إعادة الإنشاء נכשל
  ex.flag_no_comment	مечен (لا يوجد تعليق)
  form.arc_script_lbl	 Teach the script per chapter 🛠️

## el  (8)
  form.style.essay	✍️ Εッセϊ
  ex.syn.hint	Επέκτεινε τα κατάλληλα λέξη, τότε Πроверка.
  form.arc_script_lbl	 Lesboun to script per hroni
  ex.no_keyboard.title	Presw to anw ean den exei to xaraktaristikono xaraktiras pou tha ferei to diaforo lango — ta parapanigata stis exwreses epistrefontai se orodhesia xaraktarwn.
  ex.badge.glyph_order	Analipni to xaraktiras se orodhesia
  ex.glyph_order.q	Epanadipose ' {word} ' — analipni to xaraktiras se orodhesia
  ex.glyph_order.q_plain	Analipni to xaraktiras se orodhesia
  ex.glyph_order.placeholder	Analipni xaraktaria na epistrofes to leksi

## he  (13)
  static.pill.edits_only	урיכות לשלוח
  toast.import_merge_confirm	אישור — התuckland/העמדות/המחיקות יתuckland/יוחזרו (הحتhalt/הישארו הנתfoundland/הנושאים הנוכחיים).
ביטול — תחליף את הנושאים המתאימים לחלוטין את הגרסה המלמלו/ת.
  ex.type_plural.q	כתוב את המספר множי של "{word}"
  lesson.ai_error_hunt.no_ai_story	אין סיפור AI מحفوظ.
  qc.editor.fix_title	העלאה של הצעה исправית
  tts.voice_warn_q	האם הדפדפן שלך поддерживает приятную синтезацию речи? нажмите Проверка — если звучит роботизированным или молчаливо, ваш браузер/ОС может отсутствовать хороший голос для этого языка.
  tts.voice_search	как улучшить качество речи
  form.format.mixed	🔀 בדיקה מעוררת — שאלות מ vermischtes Kapitel (بدون AI)
  intro.need_open_set	Open a lesson set first, then add a Learn-the-script lesson.
  mixed.readonly_note	הLESSON מ 若要编辑，请打开应用。
  mixed.empty	אין שאלות להמשל עדיין — הוסף קבוצות למדות נוספות בkapitel אولا.
  ex.flag_shown_correct	הצגTambah纠错:
  ex.flag_no_comment	מORK标记（无评论）

## hi  (25)
  import.choice.merge_hint	केवल उन फाग्ल/रेटिंग/हटाएँ लागू करें — आपका कонтेंट बनाए रखें।
  toast.generating	⏳ Generating "{topic}" in the background…
  toast.already_generating	⏳ Already generating "{topic}" — please wait
  toast.link_copied	🔗 Link copied!
  toast.no_voice	⚠ No {lang} voice — using approximation
  toast.export_fail	⚠ Export failed: {msg}
  toast.invalid_json	⚠ Invalid JSON file
  toast.no_lessons	⚠ No lessons found in file
  toast.select_story	⚠ Select a story or enter a topic for Text Understanding
  static.info	📦 Static version — select a topic below to start
  form.story_placeholder	Paste your story here…
  form.translation_placeholder_short	Paste the translation here. One sentence per paragraph is ideal, but plain prose works too.
  form.story_rewrite_placeholder	Describe what to change, e.g. 'make it funnier' or 'set it in Rome'…
  form.story_flag_placeholder	Describe what is wrong with the story…
  lesson.share_title	Copy shareable link
  lesson.edit_story	Edit story
  lesson.continue_title	Continue this story in a new lesson set
  lesson.export_title	Export lesson with flags
  lesson.export_storyline_title	Export full story line with flags
  lesson.gen_title	Generate title with AI
  lesson.generating_title	Generating story title…
  lesson.title_saved	Title saved
  ex.error_hunt.instruction	Tap words that look wrong — spelling or grammar mistakes.
  lesson.type.desc.error_hunt	हिंदी वाक्य में लिखी गई गрамर और लिखने की गलतियों का पता लगाएं
  lesson.type.desc.intro_script	मטרה लिपि के लिए अक्षरों को अक्षर अनुसार सीखें

## ko  (27)
  furigana.show	ふ 표시
  toast.export_ok	✓ {n} 강의导出成功
  toast.export_ok_plural	✓ {n} 강의导出成功
  toast.export_fail	⚠ 导出失败: {msg}
  toast.invalid_json	⚠ 无效的 JSON 文件
  toast.no_lessons	⚠ 文件中未找到任何课程
  toast.select_story	⚠ 请选择一个故事或输入主题以进行文本理解
  static.info	📦 静态版本 — 请选择下方的主题以开始
  form.story_placeholder	在此粘贴您的故事…
  form.translation_placeholder_short	在此粘贴翻译。每段一个句子最佳，但纯文本也行。
  form.story_rewrite_placeholder	描述要更改的内容，例如：‘使其更有趣’或‘将其设置在罗马’…
  form.story_flag_placeholder	描述故事中的错误…
  lesson.share_title	复制可分享链接
  lesson.edit_story	编辑故事
  lesson.continue_title	在新的课程集中继续此故事
  lesson.export_title	导出带标记的课程
  lesson.export_storyline_title	导出带标记的完整故事线
  lesson.gen_title	使用 AI 生成标题
  lesson.generating_title	生成故事标题…
  lesson.title_saved	标题保存
  lesson.flagged_count	您有 {n} 个标记练习 — 下载以离线审阅
  lesson.flagged_count_plural	您有 {n} 个标记练习 — 下载以离线审阅
  ex.error_hunt.instruction	点击看起来错误的单词 — 拼写或语法错误。
  lib.empty_lang	此语言中没有课程。
  lib.empty	还没有保存任何课程 — 在上方生成一个!
